date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,vapor_pressure_deficit_max,wind_speed_10m_max,wind_direction_10m_dominant,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean
1980-05-30 17:00:00+00:00,25.801416,29.366,22.216,4.6,4.6,3.6053367,18.43,1.0319443,8.942214,86.84938,27.1285,0.45654157
1980-05-31 17:00:00+00:00,25.42225,29.916,22.116,4.9,4.9,3.6741478,18.52,1.393456,9.422101,102.49248,26.861837,0.46270826
1980-06-01 17:00:00+00:00,24.928503,29.416,22.066,6.4999995,6.4999995,3.0819366,15.54,1.17837,7.8954163,156.39972,26.545168,0.4597083
1980-06-02 17:00:00+00:00,25.853498,29.766,22.316,0.8,0.8,3.943242,19.63,1.4829576,7.42159,63.662434,26.886833,0.47383332
1980-06-03 17:00:00+00:00,26.440996,30.716,21.516,0.0,0.0,4.341723,21.27,1.8377852,7.0911775,69.93683,27.055586,0.45166662
1980-06-04 17:00:00+00:00,25.826422,29.716,22.266,1.8000001,1.8000001,3.6304247,18.21,1.2469945,5.4119864,224.30983,26.826418,0.44212493
1980-06-05 17:00:00+00:00,25.659752,29.416,22.816,1.4,1.4,3.2435672,16.28,1.1871583,6.28713,233.67305,26.59725,0.44704166
1980-06-06 17:00:00+00:00,25.736837,29.816,21.716,1.1,1.1,3.7252102,18.49,1.5840659,6.162207,35.537834,26.53475,0.43824998
1980-06-07 17:00:00+00:00,26.136835,30.866,22.566,0.8,0.8,4.276205,21.2,2.1466522,7.5599995,132.4664,26.930582,0.42624986
1980-06-08 17:00:00+00:00,25.861834,29.766,22.316,0.1,0.1,3.734908,18.55,1.7424974,6.4799995,48.122223,26.570166,0.40866664
1980-06-09 17:00:00+00:00,25.5035,29.166,22.016,0.7,0.7,3.450201,17.28,1.4298415,6.4799995,60.9769,26.586832,0.40479162
1980-06-10 17:00:00+00:00,26.159752,30.316,22.916,0.0,0.0,3.9320393,19.09,1.7479434,10.948973,78.750145,26.776415,0.39700004
1980-06-11 17:00:00+00:00,25.816002,30.716,20.716,0.8000001,0.8000001,4.303952,20.85,2.1806896,9.449572,86.29545,26.638918,0.38254166
1980-06-12 17:00:00+00:00,26.241,30.466,21.666,1.6999999,1.6999999,3.6441057,17.54,1.6295671,11.27553,87.466484,26.93892,0.37562492
1980-06-13 17:00:00+00:00,25.432669,30.116,22.766,23.799997,23.799997,3.1890244,15.91,1.3467593,7.928178,198.43527,26.980589,0.41895834
1980-06-14 17:00:00+00:00,25.330584,29.116,23.066,16.7,16.7,2.884573,14.33,0.9273081,6.162207,203.96236,26.86392,0.48299995
1980-06-15 17:00:00+00:00,25.088915,28.716,22.466,6.6000004,6.6000004,3.2657216,16.64,0.92608666,6.9899354,87.22088,26.701422,0.49804172
1980-06-16 17:00:00+00:00,25.265999,29.516,22.166,1.8000001,1.8000001,3.503304,17.66,1.2598658,6.4096174,137.40598,26.691002,0.49337503
1980-06-17 17:00:00+00:00,24.930582,29.266,22.416,15.3,15.3,2.940148,14.76,1.1867583,6.763786,213.58159,26.366,0.497
1980-06-18 17:00:00+00:00,25.111837,28.866,22.066,2.2,2.2,2.9644618,14.9,0.99928546,5.6920996,129.64406,26.341002,0.48516658
1980-06-19 17:00:00+00:00,25.209747,29.216,22.566,7.9,7.9,2.8423247,14.0,1.1750429,6.4799995,114.419136,26.447252,0.4772916
1980-06-20 17:00:00+00:00,25.93683,30.366,22.116,0.0,0.0,3.8212702,18.76,1.6922231,9.028754,92.01455,26.707672,0.47412488
1980-06-21 17:00:00+00:00,25.982666,29.716,22.166,0.4,0.4,3.8223898,19.31,1.454469,10.630672,94.97708,26.50142,0.46474996
1980-06-22 17:00:00+00:00,25.680586,30.366,21.266,0.0,0.0,4.1333604,20.47,1.8663478,7.072878,85.94335,26.470167,0.45416662
1980-06-23 17:00:00+00:00,26.386835,30.466,22.016,0.5,0.5,3.8853574,19.16,1.5878837,6.6185193,320.44034,26.838915,0.43762505
