temperature_2m_mean,soil_moisture_0_to_7cm_mean,temp_anomaly,aridity_index,month_sin,month_cos,precip_30d_sum,et0_30d_sum,temp_30d_mean,soil_moist_30d_mean,precip_90d_sum,et0_90d_sum,precip_180d_sum,et0_180d_sum,spei_90d,spei_180d,soil_water_deficit,water_balance_lag_1,water_balance_lag_7,water_balance_lag_30
24.763916,0.447625,-0.4128174720430131,0.0,-0.4999999999999997,-0.8660254037844388,103.09999959000001,104.5877741,25.3792647,0.45139303999999997,440.89999554,316.89128139999997,1184.80000264,634.458165,-0.09236900795587163,-0.9782549042159184,4.4446664,-4.2777605,-2.3154473,-0.7644617999999999
24.70767,0.43950006,-0.46906347204301113,0.4457588665333402,-0.4999999999999997,-0.8660254037844388,96.79999969,105.3348342,25.3625288,0.450133322,437.29999534,318.5214876,1176.20000174,636.1229976000001,-0.12698065620589907,-1.021560901792408,1.9893847,-4.4446664,-1.40597,5.0576753000000005
24.468086,0.4562917,-0.7086474720430118,0.6563864808372891,-0.4999999999999997,-0.8660254037844388,98.99999969000001,104.8652479,25.313570666666667,0.44953888266666664,431.69999464,319.4974117,1166.70000274,636.8297566000001,-0.17049779084445393,-1.064621886387221,1.1516838999999996,-1.9893847,3.1193294999999996,-3.8212702
24.701414,0.4687083,-0.4753194720430116,0.714633354561051,-0.4999999999999997,-0.8660254037844388,100.89999969,104.2612917,25.270862266666665,0.44967082733333336,421.89999464,320.73330730000004,1166.4000027400002,636.6865736,-0.24352942811047543,-1.0652834769158885,0.9184336000000002,-1.1516838999999996,8.2106426,-3.4223898
25.22225,0.46212506,0.045516527956987574,0.28688879353169056,-0.4999999999999997,-0.8660254037844388,101.99999969000001,103.9621696,25.2555844,0.44993610866666667,407.79999364,321.3002328,1163.40000274,637.2834023,-0.3405899381750505,-1.0804580294271637,2.7342383,-0.9184336000000002,9.018925099999999,-4.1333604
25.416,0.45441663,0.239266527956989,0.4374411545152805,-0.4999999999999997,-0.8660254037844388,103.19999969000001,103.9630492,25.223223233333336,0.450495828,401.99999414,321.3620875,1150.7000027400002,639.6982499000001,-0.37938160721192554,-1.1442256057385198,2.186237,-2.7342383,22.2604672,-3.3853574
24.670166,0.46512505,-0.5065674720430131,1.49919136254023,-0.4999999999999997,-0.8660254037844388,105.79999889,103.7795651,25.175098100000003,0.4513527756666667,393.69999454000003,321.2451992,1146.40000214,639.4870561,-0.43353453125454533,-1.1614757498710606,0.0,-2.186237,-4.2777605,-1.0853174
25.078497,0.46150002,-0.09823647204301267,0.054620068538354404,-0.4999999999999997,-0.8660254037844388,98.09999989,104.8768237,25.1791952,0.4507611103333333,390.29999444,321.1365688,1144.10000194,638.8341769,-0.45531564687499165,-1.1684247391590201,3.4616578,1.6981658999999998,-4.4446664,5.335599800000001
25.322252,0.45299998,0.1455185279569875,0.15202900956748963,-0.4999999999999997,-0.8660254037844388,97.79999985000002,105.3333389,25.190306399999997,0.450305553,382.39999444,321.2408678,1139.20000334,639.6210351,-0.5082852546281474,-1.1924168484122915,3.3466152,-3.4616578,-1.9893847,-2.59009996
24.491,0.456,-0.6857334720430117,0.3100426652530225,-0.4999999999999997,-0.8660254037844388,97.99999985000001,105.4384119,25.163153533333332,0.45020138633333334,372.99999443999997,321.4922499,1130.6000043400002,640.9471762000001,-0.5721546733133853,-1.2342939425818658,2.4478988,-3.3466152,-1.1516838999999996,-2.5428258
